mission,koi_id,koi_name,koi_time0bk,koi_period,koi_duration,koi_is_planet
TESS,452803785,1483.01,2458743.705980,5.006260,0.156667,0
TESS,67309890,1484.01,2458739.467560,1.162370,0.055417,0
TESS,233541860,1486.01,2458683.602000,0.266650,0.040833,0
TESS,459978312,1487.01,2458684.887390,23.287980,0.144250,0
TESS,198457103,1488.01,2458683.919900,0.472250,0.095958,0
TESS,354594208,1492.01,2458765.228130,0.866730,0.045375,0
TESS,15692883,1493.01,2458764.856300,5.141240,0.225208,1
TESS,411608801,1494.01,2459464.325734,5.026788,0.111583,1
TESS,431148743,1495.01,2458738.939540,2.628640,0.120458,0
TESS,384045439,1496.01,2458743.870660,10.826610,0.286542,0
TESS,371673488,1497.01,2458765.480810,0.815800,0.098042,0
TESS,316402246,1498.01,2458715.879840,1.397870,0.102167,0
TESS,414870287,1499.01,2458740.858900,4.958980,0.076292,0
TESS,271893367,150.01,2459363.044953,5.857407,0.243950,1
TESS,377420580,1500.01,2458765.582990,1.416600,0.097125,0
TESS,329145325,1501.01,2458739.603860,1.076720,0.114583,0
TESS,410528770,1502.01,2458740.815980,2.753470,0.144292,0
TESS,428065977,1503.01,2458739.140940,1.654450,0.133083,0
TESS,326114850,1504.01,2458739.378070,1.245640,0.056375,0
TESS,430677414,1507.01,2458738.930480,0.467410,0.052083,0
TESS,272828463,1509.01,2458765.040570,0.788770,0.065708,0
TESS,382302241,151.01,2458326.050130,1.597820,0.062083,0
TESS,377739433,1510.01,2458764.825220,1.238520,0.130750,0
TESS,376682699,1511.01,2458765.152990,1.102640,0.100792,0
TESS,269509393,1513.01,2458764.844170,1.765890,0.158625,0
TESS,270238522,1514.01,2458765.476360,1.369910,0.173167,0
TESS,470709084,1515.01,2458764.914450,3.663280,0.093958,0
TESS,455962313,1517.01,2458766.042220,4.510830,0.099625,0
TESS,427761355,1518.01,2458766.120600,1.902610,0.085292,1
TESS,272049972,1519.01,2458765.329700,1.095890,0.117375,0
TESS,403287048,152.01,2458327.923370,7.007760,0.111667,0
TESS,387413037,1523.01,2458738.950280,6.726940,0.110375,0
TESS,314338017,1524.01,2458719.566940,10.954780,0.189250,0
TESS,276380902,1525.01,2458715.192760,0.617240,0.051167,0
TESS,313761775,1526.01,2458716.352180,1.531270,0.054208,0
TESS,312259170,1529.01,2458764.940540,0.822900,0.086167,0
TESS,312469860,1530.01,2458764.793620,0.502610,0.046958,0
TESS,354600221,1534.01,2458764.816980,1.418530,0.113667,0
TESS,420288086,1535.01,2458769.585010,6.534270,0.153292,0
TESS,389525208,154.01,2458329.360850,6.746570,0.075125,0
TESS,318746829,1540.01,2458769.397100,5.231210,0.159417,0
TESS,319068154,1541.01,2458767.317680,3.797380,0.069708,0
TESS,367607434,1542.01,2458744.443530,8.291600,0.140042,0
